Страна,Код страны,Код города,Город
Казахстан,7,760,АО «Казахтелеком» (Спутниковая сеть Кулан)
Казахстан,7,761,АО «Казахтелеком»
Казахстан,7,762,АО «NURSAT»
Казахстан,7,763,АО «Арна»
Казахстан,7,764,АО «2 Day Telecom»
Казахстан,7,771,ТОО «КаР-Тел»
Казахстан,7,775,Кселл
Казахстан,7,776,ТОО «КаР-Тел»
Казахстан,7,777,ТОО «КаР-Тел»
Казахстан,7,778,Кселл
Молдова,373,94,Moldcell GSM Networks
Молдова,373,95,Moldcell GSM Networks
Молдова,373,91,Voxtel GSM Networks
Молдова,373,92,Voxtel GSM Networks
Молдова,373,65,Анений Ной // Anenii Noi
Молдова,373,67,Басарабяска // Basarabeasca
Молдова,373,31,Бельцы // Balti
Молдова,373,32,Бендеры // Bender
Молдова,373,47,Бричень // Briceni
Молдова,373,30,Васкауц
Молдова,373,30,Вертюжень
Молдова,373,53,Вулканешты // Vulcanesti
Молдова,373,49,Глодень // Glodeniy
Молдова,373,40,Григориополь // Grigoriopol
Молдова,373,79,Днестровск // Dnestrovsc
Молдова,373,51,Дондушень // Donduseni
Молдова,373,52,Дрокия // Drokia
Молдова,373,45,Дубэсарь // Dubasari
Молдова,373,46,Единец // Edinet
Молдова,373,30,Жапка
Молдова,373,30,Залучень
Молдова,373,66,Каменка // Camenca
Молдова,373,73,Кантемир // Cantemir
Молдова,373,39,Кахул // Cahul
Молдова,373,2,Кишинэу // Chisinau
Молдова,373,38,Комрат // Comrat
Молдова,373,48,Криулень // Criuleni
Молдова,373,30,Кунича
Молдова,373,77,Кэинарь // Cainari
Молдова,373,44,Кэлэраши // Calarasi
Молдова,373,43,Кэушени // Causeni
Молдова,373,63,Леова // Leova
Молдова,373,30,Нападово
Молдова,373,30,Немировка
Молдова,373,30,Нижние Кухурешты
Молдова,373,64,Ниспорень // Nisporeni
Молдова,373,71,Окница // Ocnita
Молдова,373,35,Орхей // Orhei
Молдова,373,30,Приднестровск
Молдова,373,54,Резина // Rezina
Молдова,373,55,Рыбница // Ribnitsa
Молдова,373,56,Рышкань // Riscani
Молдова,373,30,Сенатовка
Молдова,373,57,Слобозия // Slobozia
Молдова,373,30,Сорока // Soroka
Молдова,373,37,Стрэшень // Straseni
Молдова,373,62,Сынжерей // Singerei
Молдова,373,74,Тараклия // Taraclia
Молдова,373,58,Теленешть // Telenesti
Молдова,373,30,Темелеуц
Молдова,373,33,Тирасполь // Tiraspol
Молдова,373,36,Унгены // Ungheni
Молдова,373,59,Фалешты // Falesti
Молдова,373,50,Флорешты // Floresti
Молдова,373,34,Хынчешть // Hyncesty
Молдова,373,61,Чадыр-Лунга // Chadyr-Lunga
Молдова,373,30,Черлина
Молдова,373,41,Чимишлия // Cimislia
Молдова,373,72,Шолдэнешть // Soldanesti
Молдова,373,42,Штефан-Водэ // Stefan-Voda
Молдова,373,68,Яловень // Ialoveni
Таджикистан,992,34453,Ашт
Таджикистан,992,3245,Бохтар
Таджикистан,992,34445,Бустон
Таджикистан,992,32460,Вахш
Таджикистан,992,3311,Восе
Таджикистан,992,34464,Ганчи
Таджикистан,992,3131,Гарм
Таджикистан,992,34442,Гафуров
Таджикистан,992,3139,Гиссар
Таджикистан,992,3242,Гозималик
Таджикистан,992,3312,Дангара
Таджикистан,992,3455,Джабаррасулов
Таджикистан,992,3248,Джиликуль
Таджикистан,992,3132,Джиргиталь
Таджикистан,992,372,Душанбе (Душанбинская зона) // Dushanbe
Таджикистан,992,34452,Зафарабад
Таджикистан,992,3454,Истаравшан
Таджикистан,992,3462,Исфара
Таджикистан,992,3251,Кабадиён
Таджикистан,992,3443,Кайраккум
Таджикистан,992,3467,Канибадам
Таджикистан,992,3247,Колхозабад
Таджикистан,992,3136,Кофарнихон
Таджикистан,992,3322,Куляб (Кулябская зона) // Kulyab
Таджикистан,992,3249,Кумсангир
Таджикистан,992,3222,Курган-Тюбе (Курган-тюбинская зона) // Kurgan Tyube
Таджикистан,992,3137,Ленинский
Таджикистан,992,3445,Матчинский (ц.Бустон)
Таджикистан,992,33150,Московский
Таджикистан,992,3318,Муминабад
Таджикистан,992,34441,Нау
Таджикистан,992,3138,Нурек
Таджикистан,992,3316,Пархар
Таджикистан,992,3475,Пенджикент
Таджикистан,992,32520,Пяндж
Таджикистан,992,3314,Советский
Таджикистан,992,34465,Табошар
Таджикистан,992,3130,Турсун-заде
Таджикистан,992,3135,Файзабад
Таджикистан,992,331700,Ховалинг
Таджикистан,992,32430,Ходжамастон
Таджикистан,992,3442,Ходженский
Таджикистан,992,35220,Хорог (Горно-Бадахшанская область) // Khorog
Таджикистан,992,3422,Худжанд (Согдийская обл.) // Khojend
Таджикистан,992,3451,Чкаловск
Таджикистан,992,3240,Шаартуз
Таджикистан,992,3155,Шахринав
Таджикистан,992,3141,Яван
Туркменистан,993,663,Mob.GSM-900 Barash Com.Tech.
Туркменистан,993,344,Акдепе (Дашогузская обл.) // Akdepe
Туркменистан,993,444,Атамурат
Туркменистан,993,12,Ашгабат // Ashgabat
Туркменистан,993,136,Бабадайхан (Ахалская обл.) // Babadaykhan
Туркменистан,993,564,Байрамали (Марыйская обл.) // Bayramaly
Туркменистан,993,222,Балканабат
Туркменистан,993,131,Бахерден (Ахалская обл.) // Bakherden
Туркменистан,993,247,Берекет
Туркменистан,993,346,Болдумсаз (Дашогузская обл.) // Boldumsaz
Туркменистан,993,138,Бюзмейин (Ахалская обл.) // Buzmeyin
Туркменистан,993,443,Гарабекевюл (Лебапская обл.) // Garabekevul
Туркменистан,993,248,Гаррыгала (Балканская обл.) // Garrygala
Туркменистан,993,132,Гекдепе (Ахалская обл.) // Gekdepe
Туркменистан,993,345,Губадаг (Дашогузская обл.) // Gubadag
Туркменистан,993,12336,Гыпчак (Ахалская обл.) // Gypchak
Туркменистан,993,445,Дарганата (Лебапская обл.) // Darganata
Туркменистан,993,322,Дашогуз (Дашогузская обл.) // Dashoguz
Туркменистан,993,446,Дянев (Лебапская обл.) // Dianev
Туркменистан,993,560,Елотен (Марыйская обл.) // Yeloten
Туркменистан,993,349,Имени Туркменбаши (Дашогузская обл.) // v.Turkmenbashi
Туркменистан,993,343,Йльянлы (Дашогузская обл.) // Yilyanly
Туркменистан,993,133,Кака (Ахалская обл.) // Kaka
Туркменистан,993,347,Кенеургенч (Дашогузская обл.) // Keneurgench
Туркменистан,993,440,Койтендаг
Туркменистан,993,522,Мары (Марыйская обл.) // Mary
Туркменистан,993,565,Мургап (Марыйская обл.) // Murgap
Туркменистан,993,348,Ниязовск (Дашогузская обл.) // Niyazovsk
Туркменистан,993,449,Сакар (Лебапская обл.) // Sakar
Туркменистан,993,566,Сакар-Чяга (Марыйская обл.) // Sakarchaga
Туркменистан,993,447,Саят (Лебапская обл.) // Sayat
Туркменистан,993,461,Сейди (Лебапская обл.) // Seidi
Туркменистан,993,134,Серахс (Ахалская обл.) // Serakhs
Туркменистан,993,246,Сердар
Туркменистан,993,561,Серхетабат
Туркменистан,993,340,Тагта (Дашогузская обл.) // Tagta
Туркменистан,993,568,Тагтабазар (Марыйская обл.) // Tagtabazar
Туркменистан,993,135,Теджен (Ахалская обл.) // Tegjen
Туркменистан,993,422,Туркменабад (Лебапская обл.) // Turkmenabat
Туркменистан,993,243,Туркменбаши (Балканская обл.) // Turkmenbashi
Туркменистан,993,569,Туркменгала (Марыйская обл.) // Turkmengala
Туркменистан,993,448,Фарап (Лебапская обл.) // Farap
Туркменистан,993,240,Хазар
Туркменистан,993,441,Халач (Лебапская обл.) // Khalach
Туркменистан,993,442,Ходжамбаз (Лебапская обл.) // Khodjambaz
Туркменистан,993,137,Энев (Ахалская обл.) // Enev
Туркменистан,993,245,Эсингулы (Балканская обл.) // Esenguly
Туркменистан,993,242,Этрек
Узбекистан,998,91105,Mob. Бузтел
Узбекистан,998,91106,Mob. Бузтел
Узбекистан,998,71120,Mob. Бузтон
Узбекистан,998,66183,Mob. Коском
Узбекистан,998,66236,Mob. Коском
Узбекистан,998,93180,Mob. Коском
Узбекистан,998,93180,Mob. Коском
Узбекистан,998,93181,Mob. Коском
Узбекистан,998,93181,Mob. Коском
Узбекистан,998,93182,Mob. Коском
Узбекистан,998,93183,Mob. Коском
Узбекистан,998,98126,Mob. Рубикон
Узбекистан,998,61221,Mob. Уздунробита
Узбекистан,998,62221,Mob. Уздунробита
Узбекистан,998,65227,Mob. Уздунробита
Узбекистан,998,66238,Mob. Уздунробита
Узбекистан,998,67224,Mob. Уздунробита
Узбекистан,998,692212,Mob. Уздунробита
Узбекистан,998,692213,Mob. Уздунробита
Узбекистан,998,71604,Mob. Уздунробита
Узбекистан,998,71616,Mob. Уздунробита
Узбекистан,998,716692,Mob. Уздунробита
Узбекистан,998,717169,Mob. Уздунробита
Узбекистан,998,722279,Mob. Уздунробита
Узбекистан,998,73221,Mob. Уздунробита
Узбекистан,998,73557,Mob. Уздунробита
Узбекистан,998,74229,Mob. Уздунробита
Узбекистан,998,75222,Mob. Уздунробита
Узбекистан,998,762229,Mob. Уздунробита
Узбекистан,998,792225,Mob. Уздунробита
Узбекистан,998,97130,Mob. Уздунробита
Узбекистан,998,97131,Mob. Уздунробита
Узбекистан,998,97230,Mob. Уздунробита
Узбекистан,998,97231,Mob. Уздунробита
Узбекистан,998,92100,Mob. Узмаком
Узбекистан,998,92101,Mob. Узмаком
Узбекистан,998,92104,Mob. Узмаком
Узбекистан,998,90185,Mob.ДЭУ сент.пейджинг
Узбекистан,998,90186,Mob.ДЭУ сент.пейджинг
Узбекистан,998,90187,Mob.ДЭУ сент.пейджинг
Узбекистан,998,90188,Mob.ДЭУ сент.пейджинг
Узбекистан,998,90701,Mob.ДЭУ сент.пейджинг
Узбекистан,998,90702,Mob.ДЭУ сент.пейджинг
Узбекистан,998,90703,Mob.ДЭУ сент.пейджинг
Узбекистан,998,90706,Mob.ДЭУ сент.пейджинг
Узбекистан,998,90707,Mob.ДЭУ сент.пейджинг
Узбекистан,998,90718,Mob.ДЭУ сент.пейджинг
Узбекистан,998,74,Акалтын (Андижанская обл.) // Akaltin
Узбекистан,998,71,Аккурган (Ташкентская обл.) // Akkurgan
Узбекистан,998,61,Акмангит (Каракалпакская обл.) // Akmangit
Узбекистан,998,66,Акташ (Самаркандская обл.) // Aktash
Узбекистан,998,65,Алат (Бухарская обл.) // Alat
Узбекистан,998,71,Алмалык (Ташкентская обл.) // Almalyk
Узбекистан,998,73,Алтыарык (Ферганская обл.) // Altyarik
Узбекистан,998,74,Алтынкуль (Андижанская обл.) // Altynkul
Узбекистан,998,76,Ангор (Сурхандарьинская обл.) // Angor
Узбекистан,998,71,Ангрен (Ташкентская обл.) // Angren
Узбекистан,998,74,Андижан (Андижанская обл.) // Andijan
Узбекистан,998,74,Асака (Андижанская обл.) // Asaka
Узбекистан,998,71,Ахангаран (Ташкентская обл.) // Akhangaran
Узбекистан,998,74,Ахунбабаев (Андижанская обл.) // Ahunbabaev
Узбекистан,998,62,Багат (Хорезмская обл.) // Bagat
Узбекистан,998,73,Багдад (Ферганская обл.) // Bagdad
Узбекистан,998,76,Байсун (Сурхандарьинская обл.) // Baisun
Узбекистан,998,74,Балыкчи (Андижанская обл.) // Balikchi
Узбекистан,998,67,Бахт
Узбекистан,998,71,Бекабад (Ташкентская обл.) // Bekabad
Узбекистан,998,61,Беруни (Каракалпакская обл.) // Beruni
Узбекистан,998,73,Бешарык (Ферганская обл.) // Besharik
Узбекистан,998,75,Бешкент (Кашкадарьинская обл.) // Beshkent
Узбекистан,998,79,Бешрабат (Навоийская обл.) // Beshrabot
Узбекистан,998,67,Боевут
Узбекистан,998,74,Боз (Андижанская обл.) // Boz
Узбекистан,998,71,Бука (Ташкентская обл.) // Buka
Узбекистан,998,66,Булунгур (Самаркандская обл.) // Bulungur
Узбекистан,998,61,Бустан (Каракалпакская обл.) // Bustan
Узбекистан,998,65,Бухара (Бухарская обл.) // Bukhara
Узбекистан,998,65,Вабкент (Бухарская обл.) // Vabkent
Узбекистан,998,73,Вуадиль (Ферганская обл.) // Vuadil
Узбекистан,998,72,Гагарин (Джизакская обл.) // Gagarin
Узбекистан,998,71,Газалкент (Ташкентская обл.) // Gazalkent
Узбекистан,998,65,Газли
Узбекистан,998,65,Галаасия (Бухарская обл.) // Galaasia
Узбекистан,998,72,Галляарал (Джизакская обл.) // Galliaaral
Узбекистан,998,65,Гиждуван (Бухарская обл.) // Gizhduvan
Узбекистан,998,66,Гузалкент (Самаркандская обл.) // Guzalkent
Узбекистан,998,75,Гузар (Кашкадарьинская обл.) // Guzar
Узбекистан,998,66,Гулабад
Узбекистан,998,67,Гулистан (Сырдарьинская обл.) // Gulistan
Узбекистан,998,71,Гульбахор (Ташкентская обл.) // Gulbakhor
Узбекистан,998,62,Гурлен (Хорезмская обл.) // Gurlen
Узбекистан,998,73,Дангара (Ферганская обл.) // Dangara
Узбекистан,998,76,Денау (Сурхандарьинская обл.) // Denau
Узбекистан,998,67,Дехканабад (Сырдарьинская обл.) // Dekhkanabad
Узбекистан,998,66,Джамбай (Самаркандская обл.) // Djambai
Узбекистан,998,76,Джаркурган (Сурхандарьинская обл.) // Djarkurgan
Узбекистан,998,72,Джизак (Джизакская обл.) // Djizak
Узбекистан,998,66,Джума (Самаркандская обл.) // Djuma
Узбекистан,998,69,Джумашуй (Наманганская обл.) // Djumashui
Узбекистан,998,71,Достабад (Ташкентская обл.) // Dostabad
Узбекистан,998,72,Дустлик (Джизакская обл.) // Dustlik
Узбекистан,998,65,Жондор (Бухарская обл.) // Jondor
Узбекистан,998,72,Заамин (Джизакская обл.) // Zaamin
Узбекистан,998,79,Зарафшан (Навоийская обл.) // Zarafshan
Узбекистан,998,72,Зарбдар
Узбекистан,998,71,Зафар (Ташкентская обл.) // Zafar
Узбекистан,998,66,Зиадин (Самаркандская обл.) // Ziadin
Узбекистан,998,66,Иштыхан (Самаркандская обл.) // Ishtikhan
Узбекистан,998,65,Каган (Бухарская обл.) // Kagan
Узбекистан,998,75,Камаши (Кашкадарьинская обл.) // Kamashi
Узбекистан,998,79,Канимех (Навоийская обл.) // Kanimeh
Узбекистан,998,61,Канлыколь (Каракалпакская обл.) // Kanlikol
Узбекистан,998,65,Каракуль (Бухарская обл.) // Karakul
Узбекистан,998,61,Караузяк (Каракалпакская обл.) // Karauziak
Узбекистан,998,62,Караул (Хорезмская обл.) // Karaul
Узбекистан,998,75,Карашина
Узбекистан,998,76,Карлук
Узбекистан,998,79,Кармана (Навоийская обл.) // Karmana
Узбекистан,998,75,Карши (Кашкадарьинская обл.) // Karshi
Узбекистан,998,75,Касан (Кашкадарьинская обл.) // Kasan
Узбекистан,998,69,Касансай (Наманганская обл.) // Kasansai
Узбекистан,998,75,Касби (Кашкадарьинская обл.) // Kasbi
Узбекистан,998,66,Каттакурган (Самаркандская обл.) // Kattakurgan
Узбекистан,998,67,Кахраман
Узбекистан,998,61,Кегейли (Каракалпакская обл.) // Kegeili
Узбекистан,998,71,Келес (Ташкентская обл.) // Keles
Узбекистан,998,71,Кибрай (Ташкентская обл.) // Kibrai
Узбекистан,998,75,Китаб (Кашкадарьинская обл.) // Kitab
Узбекистан,998,73,Коканд (Ферганская обл.) // Kokand
Узбекистан,998,62,Кошкупыр (Хорезмская обл.) // Koshkupur
Узбекистан,998,66,Кошрабад
Узбекистан,998,71,Красногорск (Ташкентская обл.) // Krasnogorsk
Узбекистан,998,73,Кува (Ферганская обл.) // Kuva
Узбекистан,998,73,Кувасай (Ферганская обл.) // Kuvasai
Узбекистан,998,74,Куйганяр (Андижанская обл.) // Kuiganiar
Узбекистан,998,76,Кумкурган (Сурхандарьинская обл.) // Kumkurgan
Узбекистан,998,61,Кунград (Каракалпакская обл.) // Kungrad
Узбекистан,998,74,Кургантепа (Андижанская обл.) // Kurgan-Tepa
Узбекистан,998,79,Кызылтепа (Навоийская обл.) // Kiziltepa
Узбекистан,998,66,Лаиш (Самаркандская обл.) // Laish
Узбекистан,998,73,Лангар (Ферганская обл.) // Langar
Узбекистан,998,61,Мангит (Каракалпакская обл.) // Mangit
Узбекистан,998,73,Маргилан (Ферганская обл.) // Margilon
Узбекистан,998,74,Мархамат (Андижанская обл.) // Marhamat
Узбекистан,998,75,Мубарек (Кашкадарьинская обл.) // Mubarek
Узбекистан,998,79,Навои (Навоийская обл.) // Navoi
Узбекистан,998,67,Навруз (Сырдарьинская обл.) // Navruz
Узбекистан,998,69,Наманган (Наманганская обл.) // Namangan
Узбекистан,998,61,Нукус (Каракалпакская обл.) // Nukus
Узбекистан,998,66,Нурабад
Узбекистан,998,79,Нурата
Узбекистан,998,66,Пайарык
Узбекистан,998,74,Пайтуг (Андижанская обл.) // Paitug
Узбекистан,998,66,Пайшанба (Самаркандская обл.) // Paishanba
Узбекистан,998,75,Памук
Узбекистан,998,69,Пап (Наманганская обл.) // Pap
Узбекистан,998,71,Паркент (Ташкентская обл.) // Parkent
Узбекистан,998,74,Пахтаабад (Андижанская обл.) // Pakhtaabad
Узбекистан,998,67,Пахтаабад (Сырдарьинская обл.) // Pakhtaabad
Узбекистан,998,72,Пахтакор
Узбекистан,998,62,Питняк
Узбекистан,998,71,Пскент (Ташкентская обл.) // Pskent
Узбекистан,998,73,Риштан (Ферганская обл.) // Rishtan
Узбекистан,998,65,Ромитан (Бухарская обл.) // Romitan
Узбекистан,998,67,Сайхун (Сырдарьинская обл.) // Saikhun
Узбекистан,998,66,Самарканд (Самаркандская обл.) // Samarkand
Узбекистан,998,67,Сардоба (Сырдарьинская обл.) // Sardoba
Узбекистан,998,76,Сариассия
Узбекистан,998,76,Сарык (Сурхандарьинская обл.) // Sarik
Узбекистан,998,67,Сырдарья (Сырдарьинская обл.) // Sirdaria
Узбекистан,998,66,Тайлак
Узбекистан,998,75,Талимарджан
Узбекистан,998,79,Тамдыбулак
Узбекистан,998,61,Тахиаташ (Каракалпакская обл.) // Takhiatash
Узбекистан,998,61,Тахтакупыр (Каракалпакская обл.) // Takhtakupur
Узбекистан,998,69,Ташбулак (Наманганская обл.) // Tashbulak
Узбекистан,998,71,Ташкент (Ташкентская обл.) // Tashkent
Узбекистан,998,73,Ташлак (Ферганская обл.) // Tashlak
Узбекистан,998,76,Термез (Сурхандарьинская обл.) // Termez
Узбекистан,998,71,Тойтепа (Ташкентская обл.) // Toitepa
Узбекистан,998,69,Туракурган (Наманганская обл.) // Turakurgan
Узбекистан,998,61,Турткуль (Каракалпакская обл.) // Turkul
Узбекистан,998,76,Узун (Сурхандарьинская обл.) // Uzun
Узбекистан,998,69,Уйчи (Наманганская обл.) // Uichi
Узбекистан,998,62,Ургенч (Хорезмская обл.) // Urgench
Узбекистан,998,66,Ургут (Самаркандская обл.) // Urgut
Узбекистан,998,72,Усмат (Джизакская обл.) // Usmat
Узбекистан,998,73,Учкуприк (Ферганская обл.) // Uchkuprik
Узбекистан,998,69,Учкурган (Наманганская обл.) // Uchkurgan
Узбекистан,998,76,Учкызыл (Сурхандарьинская обл.) // Uchkizil
Узбекистан,998,67,Фархад (Сырдарьинская обл.) // Farkhad
Узбекистан,998,73,Фергана (Ферганская обл.) // Fergana
Узбекистан,998,62,Хазарасп (Хорезмская обл.) // Khazarasp
Узбекистан,998,69,Хаккулабад (Наманганская обл.) // Khakkulabad
Узбекистан,998,76,Халкабад (Сурхандарьинская обл.) // Khalkabad
Узбекистан,998,74,Ханабад (Андижанская обл.) // Khanabad
Узбекистан,998,62,Ханка (Хорезмская обл.) // Khanki
Узбекистан,998,71,Хасково
Узбекистан,998,62,Хива (Хорезмская обл.) // Khiva
Узбекистан,998,74,Ходжаабад (Андижанская обл.) // Khodjaabad
Узбекистан,998,61,Ходжейли (Каракалпакская обл.) // Khodzzhheili
Узбекистан,998,69,Чартак (Наманганская обл.) // Chartak
Узбекистан,998,66,Челек
Узбекистан,998,61,Чимбай (Каракалпакская обл.) // Chimbai
Узбекистан,998,71,Чиназ (Ташкентская обл.) // Chinaz
Узбекистан,998,75,Чиракчи (Кашкадарьинская обл.) // Chirakchi
Узбекистан,998,71,Чирчик (Ташкентская обл.) // Chirchik
Узбекистан,998,69,Чуст (Наманганская обл.) // Chust
Узбекистан,998,62,Шават (Хорезмская обл.) // Shavat
Узбекистан,998,65,Шафиркан (Бухарская обл.) // Shafirkan
Узбекистан,998,75,Шахрисабз (Кашкадарьинская обл.) // Shakhrisabs
Узбекистан,998,74,Шахрихан (Андижанская обл.) // Shakhrikhan
Узбекистан,998,76,Шерабад (Сурхандарьинская обл.) // Sherabad
Узбекистан,998,67,Ширин (Сырдарьинская обл.) // Shirin
Узбекистан,998,61,Шуманай (Каракалпакская обл.) // Shumanai
Узбекистан,998,76,Шурчи (Сурхандарьинская обл.) // Shurchi
Узбекистан,998,71,Эшангузар (Ташкентская обл.) // Jshanguzar
Узбекистан,998,73,Язъяван (Ферганская обл.) // Jaz`Javan
Узбекистан,998,73,Яйпан (Ферганская обл.) // Jaipan
Узбекистан,998,75,Яккабаг (Кашкадарьинская обл.) // Jakkabag
Узбекистан,998,71,Янгиабад (Ташкентская обл.) // Jangiabad
Узбекистан,998,62,Янгиарык (Хорезмская обл.) // Janguarik
Узбекистан,998,65,Янгибазар (Бухарская обл.) // Jangibazar
Узбекистан,998,71,Янгибазар (Ташкентская обл.) // Jangibazar
Узбекистан,998,62,Янгибазар (Хорезмская обл.) // Jangibazar
Узбекистан,998,67,Янгиер (Сырдарьинская обл.) // Jangier
Узбекистан,998,72,Янгикишлак
Узбекистан,998,69,Янгикурган (Наманганская обл.) // Jangikurgan
Узбекистан,998,73,Янгикурган (Ферганская обл.) // Jangikurgan
Узбекистан,998,75,Янги-Миришкор (Кашкадарьинская обл.) // Jangi-Mirishkhor
Узбекистан,998,75,Янги-Нишан (Кашкадарьинская обл.) // Jangi-Nishan
Узбекистан,998,79,Янгирабад (Навоийская обл.) // Jngirabad
Узбекистан,998,71,Янгиюль (Ташкентская обл.) // Jangijul
Украина,380,6131,Акимовка  (Запорожская обл.)
Украина,380,5235,Александрия  (Кировоградская обл.)
Украина,380,6269,Александровка  (Донецкая обл.)
Украина,380,5242,Александровка  (Кировоградская обл.)
Украина,380,6442,Алчевск  (Луганская обл.)
Украина,380,6259,Амвросиевка  (Донецкая обл.)
Украина,380,4863,Ананьев  (Одесская обл.)
Украина,380,6153,Андреевка  (Запорожская обл.)
Украина,380,4136,Андрушевка  (Житомирская обл.)
Украина,380,6431,Антрацит  (Луганская обл.)
Украина,380,5656,Апостолово  (Днепропетровская обл.)
Украина,380,5132,Арбузинка  (Николаевская обл.)
Украина,380,627,Артемовск  (Донецкая обл.)
Украина,380,6274,Артемовск  (Донецкая обл.)
Украина,380,4845,Арциз  (Одесская обл.)
Украина,380,5446,Ахтырка  (Сумская обл.)
Украина,380,5749,Балаклея  (Харьковская обл.)
Украина,380,4866,Балта  (Одесская обл.)
Украина,380,4341,Бар  (Винницкая обл.)
Украина,380,4144,Барановка  (Житомирская обл.)
Украина,380,5757,Барвенково  (Харьковская обл.)
Украина,380,4576,Барышевка  (Киевская обл.)
Украина,380,4635,Бахмач  (Черниговская обл.)
Украина,380,5158,Баштанка  (Николаевская обл.)
Украина,380,4132,Белая Крыница  (Житомирская обл.)
Украина,380,456,Белая Церковь  (Киевская обл.)
Украина,380,6466,Беловодск  (Луганская обл.)
Украина,380,5547,Белозерка  (Херсонская обл.)
Украина,380,6462,Белокуракино  (Луганская обл.)
Украина,380,5443,Белополье  (Сумская обл.)
Украина,380,4852,Беляевка  (Одесская обл.)
Украина,380,4143,Бердичев  (Житомирская обл.)
Украина,380,3141,Берегово  (Закарпатская обл.)
Украина,380,3548,Бережаны  (Тернопольская обл.)
Украина,380,5153,Березанка  (Николаевская обл.)
Украина,380,5168,Березнеговатое  (Николаевская обл.)
Украина,380,3653,Березно  (Ровенская обл.)
Украина,380,4856,Березовка  (Одесская обл.)
Украина,380,5546,Берислав  (Херсонская обл.)
Украина,380,4352,Бершадь  (Винницкая обл.)
Украина,380,5754,Близнюки  (Харьковская обл.)
Украина,380,5257,Бобринец  (Кировоградская обл.)
Украина,380,4632,Бобровица  (Черниговская обл.)
Украина,380,5758,Богодухов  (Харьковская обл.)
Украина,380,3471,Богородчаны  (Ивано-Франковская обл.)
Украина,380,4561,Богуслав  (Киевская обл.)
Украина,380,4846,Болград  (Одесская обл.)
Украина,380,3437,Болехов  (Ивано-Франковская обл.)
Украина,380,4653,Борзна  (Черниговская обл.)
Украина,380,3248,Борислав  (Львовская обл.)
Украина,380,4595,Борисполь  (Киевская обл.)
Украина,380,5759,Боровая  (Харьковская обл.)
Украина,380,3541,Борщев  (Тернопольская обл.)
Украина,380,5131,Братское  (Николаевская обл.)
Украина,380,4331,Брацлав  (Винницкая обл.)
Украина,380,3266,Броды  (Львовская обл.)
Украина,380,4141,Броницка  (Житомирская обл.)
Украина,380,4162,Брусилов  (Житомирская обл.)
Украина,380,6443,Брянка  (Луганская обл.)
Украина,380,3438,Бурштын  (Ивано-Франковская обл.)
Украина,380,5454,Бурынь  (Сумская обл.)
Украина,380,3264,Буск  (Львовская обл.)
Украина,380,3544,Бучач  (Тернопольская обл.)
Украина,380,5753,Валки  (Харьковская обл.)
Украина,380,4350,Вапнярка  (Винницкая обл.)
Украина,380,4636,Варва  (Черниговская обл.)
Украина,380,6175,Васильевка  (Запорожская обл.)
Украина,380,4571,Васильков  (Киевская обл.)
Украина,380,5639,Васильковка  (Днепропетровская обл.)
Украина,380,572,Васищево  (Харьковская обл.)
Украина,380,5746,Введенка  (Харьковская обл.)
Украина,380,5532,Великая Александровка  (Херсонская обл.)
Украина,380,5345,Великая Багачка  (Полтавская обл.)
Украина,380,6156,Великая Белозерка  (Запорожская обл.)
Украина,380,5543,Великая Лепетиха  (Херсонская обл.)
Украина,380,4859,Великая Михайловка  (Одесская обл.)
Украина,380,6243,Великая Новоселка  (Донецкая обл.)
Украина,380,5457,Великая Писаревка  (Сумская обл.)
Украина,380,3558,Великие Дедеркалы  (Тернопольская обл.)
Украина,380,3135,Великий Березный  (Закарпатская обл.)
Украина,380,5752,Великий Бурлук  (Харьковская обл.)
Украина,380,352,Великий Хлыбачок  (Тернопольская обл.)
Украина,380,4337,Вендичаны  (Винницкая обл.)
Украина,380,5658,Верхнеднепровск  (Днепропетровская обл.)
Украина,380,5545,Верхний Рогачик  (Херсонская обл.)
Украина,380,3432,Верховина  (Ивано-Франковская обл.)
Украина,380,5163,Веселиново  (Николаевская обл.)
Украина,380,6136,Веселое  (Запорожская обл.)
Украина,380,3730,Вижница  (Черновицкая обл.)
Украина,380,5763,Вилшаны  (Харьковская обл.)
Украина,380,3143,Виноградов  (Закарпатская обл.)
Украина,380,3846,Виньковцы  (Хмельницкая обл.)
Украина,380,4598,Вишневое  (Киевская обл.)
Украина,380,3342,Владимир Волынский  (Волынская обл.)
Украина,380,3634,Владимирец  (Ровенская обл.)
Украина,380,5134,Вознесенск  (Николаевская обл.)
Украина,380,6244,Волноваха  (Донецкая обл.)
Украина,380,4569,Володарка  (Киевская обл.)
Украина,380,4145,Володарск Волынский  (Житомирская обл.)
Украина,380,6246,Володарское  (Донецкая обл.)
Украина,380,3845,Волочиск  (Хмельницкая обл.)
Украина,380,5741,Волчанск  (Харьковская обл.)
Украина,380,5653,Вольногорск  (Днепропетровская обл.)
Украина,380,6143,Вольнянск  (Запорожская обл.)
Украина,380,5135,Врадиевка  (Николаевская обл.)
Украина,380,5535,Высокополье  (Херсонская обл.)
Украина,380,5354,Гадяч  (Полтавская обл.)
Украина,380,5254,Гайворон  (Кировоградская обл.)
Украина,380,4334,Гайсин  (Винницкая обл.)
Украина,380,3431,Галич  (Ивано-Франковская обл.)
Украина,380,5534,Геническ  (Херсонская обл.)
